|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.1109 | 1574727935 | 2019-11-25 19:25:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.1492 | 1574727965 | 2019-11-25 19:26:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.1325 | 1574727995 | 2019-11-25 19:26:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.1407 | 1574728025 | 2019-11-25 19:27:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.1310 | 1574728055 | 2019-11-25 19:27:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.1339 | 1574728085 | 2019-11-25 19:28:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.1392 | 1574728115 | 2019-11-25 19:28:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.1492 | 1574728145 | 2019-11-25 19:29:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.1385 | 1574728175 | 2019-11-25 19:29:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.1489 | 1574728205 | 2019-11-25 19:30:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.1490 | 1574728235 | 2019-11-25 19:30:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.1565 | 1574728265 | 2019-11-25 19:31:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.1513 | 1574728295 | 2019-11-25 19:31:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.1485 | 1574728325 | 2019-11-25 19:32:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.1489 | 1574728355 | 2019-11-25 19:32:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0331 | 1574728385 | 2019-11-25 19:33:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0255 | 1574728415 | 2019-11-25 19:33:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0203 | 1574728445 | 2019-11-25 19:34:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0329 | 1574728475 | 2019-11-25 19:34:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0338 | 1574728505 | 2019-11-25 19:35:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0415 | 1574728535 | 2019-11-25 19:35:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0292 | 1574728565 | 2019-11-25 19:36:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0419 | 1574728595 | 2019-11-25 19:36:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0381 | 1574728625 | 2019-11-25 19:37:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0394 | 1574728655 | 2019-11-25 19:37:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0318 | 1574728685 | 2019-11-25 19:38:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0353 | 1574728715 | 2019-11-25 19:38:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0315 | 1574728745 | 2019-11-25 19:39:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         10.9967 | 1574728775 | 2019-11-25 19:39:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0060 | 1574728805 | 2019-11-25 19:40:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         10.9915 | 1574728835 | 2019-11-25 19:40:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         10.9998 | 1574728865 | 2019-11-25 19:41:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         10.9985 | 1574728895 | 2019-11-25 19:41:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0093 | 1574728925 | 2019-11-25 19:42:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0390 | 1574728955 | 2019-11-25 19:42:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0428 | 1574728985 | 2019-11-25 19:43:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0381 | 1574729015 | 2019-11-25 19:43:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0349 | 1574729045 | 2019-11-25 19:44:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0352 | 1574729075 | 2019-11-25 19:44:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0353 | 1574729105 | 2019-11-25 19:45:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0355 | 1574729135 | 2019-11-25 19:45:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0497 | 1574729165 | 2019-11-25 19:46:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0517 | 1574729195 | 2019-11-25 19:46:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0540 | 1574729225 | 2019-11-25 19:47:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0479 | 1574729255 | 2019-11-25 19:47:35    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0490 | 1574729285 | 2019-11-25 19:48:05    |
|  10438 | webmvmwlnxv11 |  87155 |  10438 | 90d     | 365d   |      0 |         11.0640 | 1574729315 | 2019-11-25 19:48:35    |
