ANTI_EMIS_MESES|IM_VENTA_SOL|MARCA|NOMBRE_CORTO|Nombre_territorio|FLAG_LIMA_PROVINCIA|REGION|SUELDO_ESTIMADO|EDAD|SEXO|STATUS_BBVA|ANTIGUEDAD_MES|FLAG_CLIENTE_CORPORATIVO_BBVA|SEGMENTO_LOCAL|FLAG_SS
2|3500|Visa|ORO|T.NORTE|0|NORTE|2076|67|M|A|243|1|CLASICO|
2|6000|Visa|PLATINUM LIFEMILES|T.NORTE|0|ORIENTE|2078|56|M|A|216|1|PNN 0  |
2|1000|Visa|ARCANGEL|T.SURCO LA MOLINA|1|LIMA CENTRO|1020|23|M|A|31|1|INCLUSION FINANCIERA  |
2|1000|Visa|CLASICA|T.SURCO LA MOLINA|1|LIMA ESTE|3652.4400000000001|52|M|A|217|1|CLASICO|
2|5000|Visa|PLATINUM LIFEMILES|T.SURCO LA MOLINA|1|LIMA MODERNA|1040|80|M|A|144|1|INCLUSION FINANCIERA  |
2|8800|Visa|PLATINUM LIFEMILES|T.SURCO LA MOLINA|1|LIMA MODERNA|2289.75|29|M|A|73|1|CLASICO|
2|10000|Visa|ORO LIFEMILES|T.LIMA CENTRO|1|LIMA CENTRO|6082.8900000000003|29|M|A|58|1|VIP|
2|2000|Visa|ORO|T.NORTE|0|NORTE|1067.25|36|F|A|20|1|CLASICO|
2|2000|Visa|ORO LIFEMILES|T.NORTE|0|NORTE|1779.375|50|M|A|9|1|INCLUSION FINANCIERA  |
2|30000|Visa|SIGNATURE LIFEMILES|T.LIMA SUR|||1149.75|||A|238|1|CLASICO|
2|6700|Visa|PLATINUM LIFEMILES|T.LIMA CENTRO|1|LIMA MODERNA|2047.625|49|F|A|1|1|INCLUSION FINANCIERA  |
2|5400|Visa|PLATINUM|T.LIMA CENTRO|1|LIMA CENTRO|1625.375|44|M|A|1|1|INCLUSION FINANCIERA  |1
2|10000|Visa|PLATINUM LIFEMILES|T.LIMA CENTRO|0|ORIENTE|2102.5|31|M|A|38|1|INCLUSION FINANCIERA  |
2|33000|Visa|SIGNATURE LIFEMILES|T.MIRAFLORES S.BORJA|1|LIMA MODERNA|6730.7799999999997|45|F|A|239|1|CLASICO|
2|100000|Visa|SIGNATURE|T.MIRAFLORES S.BORJA|1|LIMA MODERNA|12965|35|M|A|212|1|VIP|
2|20000|Visa|SIGNATURE LIFEMILES|T.LINCE|1|LIMA MODERNA|315|55|M|A|238|1|CLASICO|
2|700|Visa|CLASICA|T.LINCE|1|LIMA MODERNA|2658.3299999999999|35|M|A|132|1|CLASICO|
2|8000|Visa|PLATINUM LIFEMILES|T.LINCE|1|CALLAO|1452.1300000000001|32|M|A|18|1|CLASICO|
2|8900|Visa|PLATINUM LIFEMILES|T.LINCE|1|LIMA MODERNA|2660|39|F|A|122|1|INCLUSION FINANCIERA  |
2|7600|Visa|ORO|T.LIMA RESIDENCIAL|1|LIMA CENTRO|525|47|F|A|186|1|CLASICO|
2|10300|Visa|ORO|T.SURCO LA MOLINA|1|LIMA MODERNA|2630.8800000000001|30|F|A|115|1|CLASICO|
2|30000|Visa|SIGNATURE LIFEMILES|T.LIMA SUR|1|LIMA MODERNA|4200|54|M|A|242|1|VIP|
2|5800|Visa|PLATINUM|T.LIMA SUR|1|LIMA SUR|1322.78|47|F|A|109|1|CLASICO|
2|12000|Visa|PLATINUM|T.LIMA SUR|1|LIMA MODERNA|4760|39|M|A|97|1|CLASICO|
2|5200|Visa|PLATINUM LIFEMILES|T.MIRAFLORES S.BORJA|1|LIMA SUR|825|45|M|||0||
2|5000|Visa|PLATINUM LIFEMILES|T.LIMA CENTRO|1|LIMA PROVINCIA|2503|55|M|A|226|1|PNN 3   |
2|1000|Visa|CLASICA|T.LIMA CENTRO|1|CALLAO|578|44|M|A|78|1|PNN 0  |
2|1000|Visa|CLASICA|T.LIMA CENTRO|1|LIMA CENTRO|1228.125|47|F|A|196|1|CLASICO|
2|4700|Visa|ORO LIFEMILES|T.LIMA RESIDENCIAL|1|LIMA NORTE|2705|33|F|||0||
2|4100|Visa|ORO|T.LIMA CENTRO|1|LIMA ESTE|1900.25|34|M|A|141|1|CLASICO|
2|6000|Visa|ORO LIFEMILES|T.LIMA CENTRO|||2540.1999999999998|20|F|A|7|1|INCLUSION FINANCIERA  |
2|700|Visa|CLASICA|T.LIMA CENTRO|1|CALLAO|547|38|M|A|121|1|CLASICO|
2|800|Visa|ARCANGEL|T.LIMA CENTRO|1|LIMA NORTE|1531.5599999999999|25|M|A|24|1|CLASICO|
2|8000|Visa|CLASICA|T.LIMA CENTRO|1|LIMA NORTE|3017.25|28|F|A|114|1|CLASICO|
2|1500|Visa|CLASICA|T.LIMA CENTRO||||||A|31|1|INCLUSION FINANCIERA  |
2|11300|Visa|PLATINUM LIFEMILES|T.LIMA CENTRO|1|LIMA CENTRO|1911.1400000000001|62|M|A|250|1|VIP|
2|1000|Visa|CLASICA|T.SURCO LA MOLINA|1|LIMA ESTE|1774.5|31|F|A|37|1|CLASICO|
2|700|Visa|ARCANGEL|T.LIMA SUR|1|LIMA MODERNA|839|47|M|A|219|1|CLASICO|
2|3000|Visa|ORO LIFEMILES|T.MIRAFLORES S.BORJA|1|LIMA MODERNA|3505|52|F|A|238|1|INCLUSION FINANCIERA  |
2|20500|Visa|SIGNATURE LIFEMILES|T.MIRAFLORES S.BORJA|1|LIMA MODERNA|4382.4399999999996|54|F|A|166|1|CLASICO|
2|13000|Visa|SIGNATURE LIFEMILES|T.MIRAFLORES S.BORJA|1|LIMA NORTE|2800|37|F|A|29|1|CLASICO|
2|28000|Visa|SIGNATURE LIFEMILES|T.MIRAFLORES S.BORJA|1|LIMA MODERNA|700|57|F|A|294|1|CLASICO|
2|5300|Visa|PLATINUM|T.SURCO LA MOLINA|1|LIMA ESTE|525|43|F|A|198|1|CLASICO|
2|5100|Visa|PLATINUM|T.LIMA SUR|1|LIMA ESTE|578|54|M|A|121|1|CLASICO|
2|4500|Visa|ORO LIFEMILES|T.LINCE|1|LIMA NORTE|919.5|26|F|A|14|1|INCLUSION FINANCIERA  |
2|4200|Visa|CLASICA|T.MIRAFLORES S.BORJA|1|LIMA ESTE|595|27|M|A|18|1|CLASICO|
2|700|Visa|CLASICA|T.LIMA CENTRO|1|LIMA CENTRO|5650.3299999999999|37|M|A|111|1|CLASICO|
2|13500|Visa|SIGNATURE|T.LIMA CENTRO|1|LIMA CENTRO|4250|32|M|A|136|1|CLASICO|
2|15500|Visa|SIGNATURE LIFEMILES|T.NORTE SUR CHICO|1|LIMA NORTE|1334.5599999999999|42|F|A|89|1|CLASICO|
2|16000|Visa|SIGNATURE LIFEMILES|T.LINCE|1|LIMA CENTRO|7506.25|40|F|||0||
2|11800|Visa|PLATINUM LIFEMILES|T.LINCE||||||A|11|1|INCLUSION FINANCIERA  |
2|8000|Visa|ORO|T.LINCE|1|LIMA MODERNA|2436|31|M|A|20|1|INCLUSION FINANCIERA  |
2|1100|Visa|ARCANGEL|T.LINCE|1|LIMA SUR|1148|21|M|A|25|1|INCLUSION FINANCIERA  |
2|700|Visa|CLASICA|T.LIMA CENTRO|1|LIMA CENTRO|1789.1099999999999|42|M|A|108|1|CLASICO|
2|48000|Visa|SIGNATURE|T.MIRAFLORES S.BORJA|1|LIMA CENTRO|5629.75|37|F|A|159|1|VIP|
2|12600|Visa|NACIONAL|T.MIRAFLORES S.BORJA|1|LIMA CENTRO|3857.4400000000001|61|M|A|112|1|CLASICO|
2|13500|Visa|SIGNATURE|T.MIRAFLORES S.BORJA|1|LIMA CENTRO|2692.375|40|F|A|149|1|CLASICO|
2|18500|Visa|SIGNATURE LIFEMILES|T.MIRAFLORES S.BORJA|1|LIMA CENTRO|4109.1099999999997|50|F|A|54|1|CLASICO|
2|12000|Visa|SIGNATURE LIFEMILES|T.SURCO LA MOLINA|1|LIMA ESTE|1447.8299999999999|53|M|A|27|1|INCLUSION FINANCIERA  |
2|5400|Visa|PLATINUM LIFEMILES|T.SURCO LA MOLINA|1|LIMA ESTE|1088.5599999999999|38|F|A|85|1|CLASICO|
2|7900|Visa|PLATINUM|T.MIRAFLORES S.BORJA|1|LIMA CENTRO|1586.125|53|F|A|231|1|INCLUSION FINANCIERA  |
2|1000|Visa|CLASICA|T.SURCO LA MOLINA|1|LIMA ESTE|2051.5|48|F|A|23|1|CLASICO|
2|2900|Visa|ORO LIFEMILES|T.LIMA CENTRO|1|LIMA ESTE|1757|43|M|A|231|1|CLASICO|
2|9900|Visa|PLATINUM LIFEMILES|T.LIMA CENTRO|1|LIMA CENTRO|1898.29|55|F|A|81|1|CLASICO|
2|20000|Visa|SIGNATURE|T.LIMA CENTRO|1|LIMA CENTRO|3203|44|F|A|177|1|VIP|
2|1000|Visa|CLASICA|T.SURCO LA MOLINA|1|LIMA ESTE|1016|57|M|A|124|1|CLASICO|
